what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1427999256959
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1427999256961
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1427999256961
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1427999256963
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1427999256965
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1427999256967
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1427999256969
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1427999256974
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1427999256977
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1427999256984
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1427999256988
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1427999256990
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1427999256992
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1427999256992
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1427999256994
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1427999256995
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1427999256995
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1427999256997
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1427999256999
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1427999257000
os,sysinfo,,,"win32",1427999257006
arch,sysinfo,,,"x86",1427999257006
ws,sysinfo,,,"win32",1427999257006
locale,sysinfo,,,"en_US",1427999257006
processors,sysinfo,,,"4",1427999257006
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1427999257006
java.runtime.version,sysinfo,,,"1.8.0_40-b26",1427999257006
java.specification.name,sysinfo,,,"Java Platform API Specification",1427999257006
java.specification.vendor,sysinfo,,,"Oracle Corporation",1427999257006
java.specification.version,sysinfo,,,"1.8",1427999257006
java.vendor,sysinfo,,,"Oracle Corporation",1427999257006
java.version,sysinfo,,,"1.8.0_40",1427999257006
java.vm.info,sysinfo,,,"mixed mode",1427999257006
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1427999257006
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1427999257006
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1427999257006
java.vm.specification.version,sysinfo,,,"1.8",1427999257006
java.vm.vendor,sysinfo,,,"Oracle Corporation",1427999257006
java.vm.version,sysinfo,,,"25.40-b25",1427999257006
closed,view,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.internal.introview",1427999258247
activated,view,org.eclipse.php.ui,3.4.0.201502171754,"org.eclipse.php.ui.explorer",1427999258925
activated,view,org.eclipse.ui.ide,3.10.2.v20141118-1227,"org.eclipse.ui.views.ProblemView",1427999262593
opened,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1427999262822
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1427999262839
activated,view,org.eclipse.php.ui,3.4.0.201502171754,"org.eclipse.php.ui.explorer",1427999262984
closed,view,org.eclipse.ui.ide,3.10.2.v20141118-1227,"org.eclipse.ui.views.ProblemView",1427999262997
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1427999263030
activated,view,org.eclipse.php.ui,3.4.0.201502171754,"org.eclipse.php.ui.explorer",1427999267264
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1427999267406
